date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:01	120/120	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Mar%202022%2007:53:01%20GMT	https://bison.studio/robots.txt		(from )
13:23:01	59325/59325	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Mar%202022%2007:53:01%20GMT	https://bison.studio/	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/index.html	(from )
13:23:03	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2024%20Mar%202022%2007:53:03%20GMT	https://bison.studio/xmlrpc.php	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/xmlrpc.php	(from https://bison.studio/)
13:23:03	5851/5851	---M--	200	added ('OK')	image/jpeg	etag:%22615207b2-1b4e%22	https://bison.studio/wp-content/uploads/2021/09/Favicon.jpg	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/uploads/2021/09/Favicon.jpg	(from https://bison.studio/)
13:23:03	186304/186304	---MCZ	200	added ('OK')	text/css	etag:W/%226233477c-2d7c0%22	https://bison.studio/wp-content/themes/greatlab-3/dist/frontend.min.css?ver=19.07.2021.72	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/themes/greatlab-3/dist/frontend.minffa4.css	(from https://bison.studio/)
13:23:04	64681/64681	---MCZ	200	added ('OK')	application/json	date:Thu,%2024%20Mar%202022%2007:53:04%20GMT	https://bison.studio/wp-json/wp/v2/pages/2	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-json/wp/v2/pages/2.json	(from https://bison.studio/)
13:23:05	744/744	---MC-	200	added ('OK')	application/rss+xml	etag:%22eb6be0b5b84f5a883596ab8c6764b6e8%22	https://bison.studio/home/feed/	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/home/feed/index.html	(from https://bison.studio/)
13:23:05	786/786	---MCZ	200	added ('OK')	text/xml	date:Thu,%2024%20Mar%202022%2007:53:05%20GMT	https://bison.studio/xmlrpc.php?rsd	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/xmlrpc0db0.php	(from https://bison.studio/)
13:23:06	170259/170259	---MCZ	200	added ('OK')	application/json	date:Thu,%2024%20Mar%202022%2007:53:05%20GMT	https://bison.studio/wp-json/	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-json/index.html	(from https://bison.studio/)
13:23:07	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2261893f77-415%22	https://bison.studio/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-includes/wlwmanifest.xml	(from https://bison.studio/)
13:23:07	2660/2660	---MCZ	200	added ('OK')	application/json	date:Thu,%2024%20Mar%202022%2007:53:07%20GMT	https://bison.studio/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbison.studio%2F	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-json/oembed/1.0/embed5e0a.json	(from https://bison.studio/)
13:23:08	2784/2784	---MCZ	200	added ('OK')	text/xml	date:Thu,%2024%20Mar%202022%2007:53:08%20GMT	https://bison.studio/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbison.studio%2F&format=xml	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-json/oembed/1.0/embed57ef	(from https://bison.studio/)
13:23:08	106557/106557	---M--	200	added ('OK')	image/jpeg	etag:%22618bacdb-1b4b1%22	https://bison.studio/wp-content/uploads/2021/11/1.jpg	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/uploads/2021/11/1.jpg	(from https://bison.studio/)
13:23:08	71756/71756	---M--	200	added ('OK')	image/jpeg	etag:%22615207b0-1184c%22	https://bison.studio/wp-content/uploads/2021/08/2-min.jpg	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/uploads/2021/08/2-min.jpg	(from https://bison.studio/)
13:23:08	295356/295356	---M--	200	added ('OK')	image/jpeg	etag:%22618bacfe-4f4c5%22	https://bison.studio/wp-content/uploads/2021/11/Rectangle-32.jpg	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/uploads/2021/11/Rectangle-32.jpg	(from https://bison.studio/)
13:23:09	28554/28554	---M--	200	added ('OK')	image/jpeg	etag:%22615207b0-6f8a%22	https://bison.studio/wp-content/uploads/2021/08/4-min.jpg	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/uploads/2021/08/4-min.jpg	(from https://bison.studio/)
13:23:09	79427/79427	---M--	200	added ('OK')	image/jpeg	etag:%22615207ae-13643%22	https://bison.studio/wp-content/uploads/2021/08/5-min.jpg	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/uploads/2021/08/5-min.jpg	(from https://bison.studio/)
13:23:09	67552/67552	---M--	200	added ('OK')	image/jpeg	etag:%22615207ae-107e0%22	https://bison.studio/wp-content/uploads/2021/08/6-min.jpg	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/uploads/2021/08/6-min.jpg	(from https://bison.studio/)
13:23:11	5107/5107	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226233477c-13f3%22	https://bison.studio/wp-content/themes/greatlab-3/dist/public/icons/bison-logo.svg	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/themes/greatlab-3/dist/public/icons/bison-logo.svg	(from https://bison.studio/)
13:23:12	56752/56752	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Mar%202022%2007:53:12%20GMT	https://bison.studio/about/	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/about/index.html	(from https://bison.studio/)
13:23:13	49826/49826	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Mar%202022%2007:53:13%20GMT	https://bison.studio/services/	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/services/index.html	(from https://bison.studio/)
13:23:14	207/207	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226233477c-cf%22	https://bison.studio/wp-content/themes/greatlab-3/dist/public/icons/button-play.svg	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/themes/greatlab-3/dist/public/icons/button-play.svg	(from https://bison.studio/)
13:23:14	32627/32627	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Mar%202022%2007:53:14%20GMT	https://bison.studio/blogs/	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/blogs/index.html	(from https://bison.studio/)
13:23:14	2740640/2740640	---M--	200	added ('OK')	video/mp4	etag:%22615207b2-29d1a0%22	https://bison.studio/wp-content/uploads/2021/09/loop-min-muted.mp4	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/uploads/2021/09/loop-min-muted.mp4	(from https://bison.studio/)
13:23:14	271/271	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226233477c-10f%22	https://bison.studio/wp-content/themes/greatlab-3/dist/public/icons/button-pause.svg	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/themes/greatlab-3/dist/public/icons/button-pause.svg	(from https://bison.studio/)
13:23:15	35195/35195	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Mar%202022%2007:53:15%20GMT	https://bison.studio/contact/	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/contact/index.html	(from https://bison.studio/)
13:23:15	943/943	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226233477c-3af%22	https://bison.studio/wp-content/themes/greatlab-3/dist/public/icons/icon-sound.svg	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/themes/greatlab-3/dist/public/icons/icon-sound.svg	(from https://bison.studio/)
13:23:15	1011/1011	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226233477c-3f3%22	https://bison.studio/wp-content/themes/greatlab-3/dist/public/icons/icon-muted.svg	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/themes/greatlab-3/dist/public/icons/icon-muted.svg	(from https://bison.studio/)
13:23:16	505/505	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226233477c-1f9%22	https://bison.studio/wp-content/themes/greatlab-3/dist/public/icons/icon-arrow-link.svg	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/themes/greatlab-3/dist/public/icons/icon-arrow-link.svg	(from https://bison.studio/)
13:23:16	10980/10980	---M--	200	added ('OK')	image/png	etag:%226176cb35-47bf%22	https://bison.studio/wp-content/uploads/2021/10/Untitled-2_0002_remax.png	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/uploads/2021/10/Untitled-2_0002_remax.png	(from https://bison.studio/)
13:23:17	4413/4413	---M--	200	added ('OK')	image/png	etag:%22618a7678-28f4%22	https://bison.studio/wp-content/uploads/2021/11/logo_0002_jv.png	C:/My%20Web%20Sites/templates/IEEE_Project/bison.studio/wp-content/uploads/2021/11/logo_0002_jv.png	(from https://bison.studio/)
